chunk,chunk,chunk,chunk,chunk,chunk,chunk,Air temperature [C],Air temperature [C],Air temperature [C],Air temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Process temperature [C],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Rotational speed [rpm],Torque [Nm],Torque [Nm],Torque [Nm],Torque [Nm],Tool wear [min],Tool wear [min],Tool wear [min],Tool wear [min]
chunk,chunk,chunk,chunk,chunk,chunk,chunk,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon,jensen_shannon
key,chunk_index,start_index,end_index,start_date,end_date,period,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert,value,upper_threshold,lower_threshold,alert
[3250:3299],65,3250,3299,,,reference,0.8352726014885146,0.7,0.3,True,0.7521743397073459,0.7,0.3,True,0.27214141523439034,0.7,0.3,True,0.20835997308982077,0.7,0.3,True,0.47462029398711053,0.7,0.3,False
[3300:3349],66,3300,3349,,,reference,0.8789185483274486,0.7,0.3,True,0.7394460309598083,0.7,0.3,True,0.24456480075583634,0.7,0.3,True,0.16426757984821663,0.7,0.3,True,0.5101016332792403,0.7,0.3,False
[3350:3399],67,3350,3399,,,reference,0.9074466997883067,0.7,0.3,True,0.8007365125380694,0.7,0.3,True,0.23354641160010592,0.7,0.3,True,0.22097528299490823,0.7,0.3,True,0.47013864828940277,0.7,0.3,False
[3400:3449],68,3400,3449,,,reference,0.8623083237025582,0.7,0.3,True,0.7454464828506807,0.7,0.3,True,0.20475942393171098,0.7,0.3,True,0.23233057384474048,0.7,0.3,True,0.5264039432069461,0.7,0.3,False
[3450:3499],69,3450,3499,,,reference,0.8299300280143815,0.7,0.3,True,0.7506736417995942,0.7,0.3,True,0.24806036909408458,0.7,0.3,True,0.16605126562131844,0.7,0.3,True,0.45082751672300053,0.7,0.3,False
[3500:3549],70,3500,3549,,,reference,0.8423519930166012,0.7,0.3,True,0.777905292904892,0.7,0.3,True,0.16035961393684292,0.7,0.3,True,0.1600837385303449,0.7,0.3,True,0.44276400279793643,0.7,0.3,False
[3550:3599],71,3550,3599,,,reference,0.8280101785121378,0.7,0.3,True,0.742560908199246,0.7,0.3,True,0.22985336266152168,0.7,0.3,True,0.22432867387864447,0.7,0.3,True,0.4663528744425115,0.7,0.3,False
[3600:3649],72,3600,3649,,,reference,0.8060566290995679,0.7,0.3,True,0.716144678625047,0.7,0.3,True,0.2981022297195723,0.7,0.3,True,0.3012144515551611,0.7,0.3,False,0.47760832647430634,0.7,0.3,False
[3650:3699],73,3650,3699,,,reference,0.8657763984214306,0.7,0.3,True,0.8059442228314733,0.7,0.3,True,0.15792451993110662,0.7,0.3,True,0.17964007646914465,0.7,0.3,True,0.4798102799246224,0.7,0.3,False
[3700:3749],74,3700,3749,,,reference,0.8397267371344032,0.7,0.3,True,0.8580908314197869,0.7,0.3,True,0.20466193194266757,0.7,0.3,True,0.2710656140050658,0.7,0.3,True,0.45239079926119397,0.7,0.3,False
